r,x,response
0.03852712658978428,0.17238800600158244,positive
0.45430591486126876,0.06126173520625264,negative
0.22593267177449888,0.03162911730790297,undefined
0.08251552113721894,0.08158791489160067,positive
0.07616759181227571,0.1124836071265873,positive
0.09481111389824505,0.08522283765819283,positive
0.18489538112805773,0.12059775430447793,positive
0.1558566343196678,0.14803501507959896,positive
0.2562378924264307,0.024546991510400434,undefined
0.178127369773155,0.02750021621420119,undefined
0.1034567885332314,0.017779173571397345,positive
0.0884078219492801,0.0662264939397066,positive
0.15301086574588488,0.08027908198884821,undefined
0.21521683699347255,0.051223289856898314,negative
0.18015677064439115,0.019432255975571355,negative
0.2764910653031536,0.039897602103943025,negative
0.2856700053021054,0.030594801378394414,undefined
0.13094911101287035,0.0017406880554876058,undefined
0.1647373759008821,0.02817650306906161,undefined
0.1094906671738493,0.07935205889408352,positive
0.10452903225553091,0.07322365159344654,positive
0.0772052577836418,0.13666797848700885,positive
0.36911750873416876,0.015158058388372113,undefined
0.05387776810116237,0.17030412510672446,negative
0.09636297690607533,0.10391256996768325,positive
0.14268546824454156,0.0618925131680983,positive
0.10241831117118665,0.014320998964071525,undefined
0.13453333463132358,0.018549617103496154,undefined
0.11810584180349992,0.2851857065624303,negative
0.622350626511102,0.11291228775432939,positive
0.044522356575221037,0.15405226707438768,positive
0.06535284935190688,0.06034277268098033,undefined
0.062280048749117516,0.13362908306517146,negative
0.0909306207834282,0.12438810407159853,negative
0.10919470310662249,0.0022061402043287016,positive
0.10194233630521568,0.000814188274244572,positive
0.923201565424932,0.001005094471003996,undefined
0.041100072200674874,0.17307278731892073,positive
0.058887004759087945,0.0528533880222772,positive
