r,x,ontology,response
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.000997432444150176,0.003864707313642529,Nucleotides,positive
0.000997432444150176,0.003864707313642529,Nucleotides,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.031087759007975897,0.12045436290699954,Amino acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.0009974324441501762,0.0038647073136425297,Nucleotides,positive
0.009571277375857813,0.03708540452270432,Sugars,positive
0.000997432444150176,0.003864707313642529,Nucleotides,positive
0.009571277375857813,0.03708540452270432,Sugars,positive
0.009571277375857813,0.03708540452270432,Sugars,positive
0.0004884199067579166,0.0018924589799003172,Organic acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.000997432444150176,0.003864707313642529,Nucleotides,positive
0.000997432444150176,0.003864707313642529,Nucleotides,positive
0.00957127737585781,0.037085404522704306,Sugars,positive
0.00957127737585781,0.037085404522704306,Sugars,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0009974324441501762,0.0038647073136425297,Nucleotides,positive
-2.1116448496817493e-5,-8.181896771298438e-5,Auxins,positive
0.000997432444150176,0.003864707313642529,Nucleotides,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.031087759007975876,0.12045436290699947,Amino acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0004884199067579165,0.001892458979900317,Fatty acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579166,0.0018924589799003172,Organic acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.00957127737585781,0.037085404522704306,Sugars,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.00957127737585781,0.037085404522704306,Sugars,positive
0.00957127737585781,0.037085404522704306,Sugars,positive
0.00957127737585781,0.037085404522704306,Sugars,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.0004884199067579163,0.0018924589799003161,Organic acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.00957127737585781,0.037085404522704306,Sugars,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0009974324441501762,0.0038647073136425297,Nucleotides,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.03108775900797589,0.12045436290699951,Amino acids,positive
0.0009974324441501762,0.0038647073136425297,Nucleotides,positive
0.000997432444150176,0.003864707313642529,Nucleotides,positive
0.031087759007975883,0.12045436290699948,Amino acids,positive
0.0004884199067579165,0.001892458979900317,Organic acids,positive
0.0004884199067579164,0.0018924589799003166,Organic acids,positive
0.0009974324441501762,0.0038647073136425297,Nucleotides,positive
